"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","FUM","FUML","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","R1st.downs","P1st.downs","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","RushYds.yardage","RushYPA.yardage","RushTD.yardage","PassYds.yardage","PassYPA.yardage","PassYPR.yardage","PassTD.yardage","KRYds.yardage","PRYds.yardage","PenYds.yardage","PlusMinus","OINT.turnovers","FumRec.turnovers","INT.turnovers","FUML.turnovers"
"1/9","CHI
      W",14,22,63.6,227,10.3,17.9,3,0,3,23,142,8,0,0,22,104,4.7,0,3,17,81,50,31,7,59,2,1,0,0,0,6,0,7,1,1,"100.0",39,4,4,"100.0",2,38,"19.0",0,24,0,0,"-",0,0,6,272,45.3,11,3,8,7,13,53.8,0,0,0,4,47,331,104,4.7,0,227,10.3,17.9,3,38,0,47,2,0,0,2,0
"1/2","@GB
      L",24,39,61.5,179,4.6,8.1,1,0,2,15,82.6,8,0,0,11,27,2.5,0,2,37,76,50,26,0,0,0,0,0,0,0,1,0,4,1,1,"100.0",51,1,1,"100.0",3,86,"28.7",0,37,0,0,"-",0,0,6,296,49.3,11,2,8,2,12,16.7,1,4,25,3,23,206,27,2.5,0,179,4.6,8.1,1,86,0,23,0,0,0,0,0
"12/26","LAR
      L",27,38,71.1,295,7.8,11.7,1,1,3,20,93.6,14,0,0,22,66,3,1,5,30,68,43,25,0,0,3,0,0,0,0,8,0,11,3,3,"100.0",44,2,2,"100.0",3,16,"5.3",0,9,0,0,"-",0,0,5,226,45.2,19,5,14,2,12,16.7,1,1,100,2,20,361,66,3,1,295,7.8,11.7,1,16,0,20,2,1,0,3,0
"12/20","@CHI
      W",12,24,50,61,2.5,7.3,2,1,4,26,69.3,5,0,0,33,132,4,0,4,9,64,46,18,3,30,0,0,3,3,0,1,0,5,1,1,"100.0",37,2,2,"100.0",2,51,"25.5",0,33,3,16,"5.3",0,11,7,295,42.1,13,4,5,5,17,29.4,0,1,0,7,54,193,132,4,0,61,2.5,7.3,2,51,16,54,2,1,3,0,0
"12/9","PIT
      W",14,31,45.2,216,7,15.4,2,2,0,0,63.4,8,0,0,36,242,6.7,2,13,28,75,45,30,5,39,1,0,1,0,0,7,0,12,3,4,"75.0",42,3,4,"75.0",0,0,"-",0,0,3,31,"10.3",0,16,3,146,48.7,22,13,8,5,14,35.7,1,1,100,11,102,458,242,6.7,2,216,7,15.4,2,0,31,102,-1,2,0,1,0
"12/5","@DET
      L",30,41,73.2,326,8,11.3,2,0,3,14,113.9,19,0,0,27,100,3.7,1,7,29,68,43,25,3,24,1,0,2,1,0,4,0,9,3,3,"100.0",41,0,0,"-",2,65,"32.5",0,44,3,23,"7.7",0,16,3,132,44,26,7,19,6,13,46.2,0,1,0,7,66,426,100,3.7,1,326,8,11.3,2,65,23,66,1,0,1,1,1
"11/28","@SF
      L",21,33,63.6,256,7.8,12.5,2,1,1,6,95.8,13,0,0,18,67,3.7,1,3,34,75,40,35,2,15,1,0,0,0,0,3,0,2,0,0,"-",0,2,3,"66.7",5,189,"37.8",1,99,0,0,"-",0,0,3,160,53.3,17,3,13,2,8,25,1,3,33.3,5,38,323,67,3.7,1,256,7.8,12.5,2,189,0,38,-1,1,0,1,1
"11/21","GB
      W",24,35,68.6,318,9.1,14.2,3,0,2,23,128.4,17,0,0,29,90,3.1,1,6,31,54,30,24,2,13,0,0,1,0,0,2,0,8,2,2,"100.0",51,2,3,"66.7",1,15,"15.0",0,15,1,8,"8.0",0,8,3,125,41.7,25,6,17,9,13,69.2,0,0,0,3,25,408,90,3.1,1,318,9.1,14.2,3,15,8,25,0,0,0,0,0
"11/14","@LAC
      W",25,37,67.6,278,7.5,11.8,2,0,2,16,109.5,14,0,0,33,103,3.1,1,8,20,47,36,11,2,24,1,0,0,0,0,5,0,9,2,2,"100.0",46,3,3,"100.0",1,23,"23.0",0,23,3,69,"23.0",0,45,3,137,45.7,24,8,14,5,14,35.7,2,2,100,10,118,381,103,3.1,1,278,7.5,11.8,2,23,69,118,0,0,0,1,1
"11/7","@BAL
      L",17,28,60.7,187,6.7,11,2,0,0,0,104.3,6,0,0,24,131,5.5,1,6,34,88,57,31,3,13,2,0,0,0,0,4,0,7,1,1,"100.0",36,4,4,"100.0",2,121,"60.5",1,98,0,0,"-",0,0,5,242,48.4,13,6,6,5,14,35.7,2,2,100,8,107,318,131,5.5,1,187,6.7,11,2,121,0,107,2,0,0,2,0
