"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","FUM","FUML","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","R1st.downs","P1st.downs","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","RushYds.yardage","RushYPA.yardage","RushTD.yardage","PassYds.yardage","PassYPA.yardage","PassYPR.yardage","PassTD.yardage","KRYds.yardage","PRYds.yardage","PenYds.yardage","PlusMinus","OINT.turnovers","FumRec.turnovers","INT.turnovers","FUML.turnovers"
"1/30","@LAR
      L",16,30,53.3,232,7.7,14.5,2,1,0,0,87.1,13,0,0,20,50,2.5,0,1,20,73,45,28,2,11,1,0,0,0,0,3,0,5,1,1,"100.0",38,2,2,100,2,26,"13.0",0,15,1,9,"9.0",0,9,5,188,"37.6",16,1,13,3,9,33.3,0,0,0,6,54,282,50,2.5,0,232,7.7,14.5,2,26,9,54,0,1,0,1,0
"1/22","@GB
      W",11,19,57.9,106,5.6,11.9,0,1,4,25,57.1,7,0,0,29,106,3.7,0,5,10,58,42,16,5,29,0,0,2,1,0,2,0,7,2,2,"100.0",45,1,1,100,3,91,"30.3",0,45,3,22,"7.3",0,9,5,234,"46.8",12,5,7,4,11,36.4,0,1,0,5,40,212,106,3.7,0,106,5.6,11.9,0,91,22,40,0,1,1,0,0
"1/16","@DAL
      W",16,25,64,172,6.9,10.8,0,1,0,0,67.4,10,0,0,38,169,4.4,2,7,17,58,38,20,5,40,1,0,1,0,0,3,0,11,3,3,"100.0",53,2,2,100,2,29,"14.5",0,16,1,11,"11.0",0,11,4,179,"44.8",21,7,10,6,13,46.2,0,0,0,9,58,341,169,4.4,2,172,6.9,10.8,0,29,11,58,0,1,0,1,0
"1/9","@LAR
      W",24,33,72.7,314,9.5,14.2,2,2,3,26,100.6,15,0,0,31,135,4.4,1,8,24,69,42,27,5,37,2,0,0,0,0,3,0,9,2,2,"100.0",42,3,3,100,1,11,"11.0",0,11,1,14,"14.0",0,14,4,175,"43.8",23,8,15,9,14,64.3,0,0,0,6,56,449,135,4.4,1,314,9.5,14.2,2,11,14,56,0,2,0,2,0
"1/2","HOU
      W",16,23,69.6,241,10.5,15.6,2,1,1,8,116,10,0,0,37,175,4.7,0,7,7,67,36,31,3,27,1,0,2,0,0,3,0,11,3,3,"100.0",37,2,2,100,2,35,"17.5",0,28,4,33,"8.3",0,18,4,159,"39.8",19,7,10,5,13,38.5,0,2,0,7,111,416,175,4.7,0,241,10.5,15.6,2,35,33,111,0,1,0,1,0
"12/23","@TEN
      L",26,35,74.3,306,8.7,12.4,1,2,2,16,88,14,0,0,21,83,4,1,6,20,59,42,17,4,21,0,0,0,0,0,4,0,5,1,1,"100.0",48,2,2,100,0,0,"-",0,0,1,12,"12.0",0,12,2,70,"35.0",22,6,14,3,8,37.5,1,2,50,5,41,389,83,4,1,306,8.7,12.4,1,0,12,41,-2,2,0,0,0
"12/19","ATL
      W",18,24,75,235,9.8,13.1,1,0,0,0,119.3,11,0,0,32,162,5.1,3,11,13,48,38,10,3,23,0,0,1,1,0,3,0,7,1,1,"100.0",30,4,4,100,2,13,"6.5",0,13,2,8,"4.0",0,10,4,196,"49.0",23,11,11,6,11,54.5,0,0,0,5,35,397,162,5.1,3,235,9.8,13.1,1,13,8,35,0,0,1,0,1
"12/12","@CIN
      W",27,41,65.9,255,6.2,11,2,0,5,41,103.3,14,0,0,23,100,4.3,1,6,23,75,38,37,5,37,0,0,1,2,0,4,0,8,2,3,"66.7",33,2,2,100,3,63,"21.0",0,24,2,4,"2.0",0,4,7,291,"41.6",21,6,14,5,15,33.3,0,0,0,6,40,355,100,4.3,1,255,6.2,11,2,63,4,40,2,0,2,0,0
"12/5","@SEA
      L",20,30,66.7,294,9.8,14.9,2,2,1,5,93.6,11,0,0,25,71,2.8,1,6,30,71,49,22,4,50,1,0,4,2,0,1,0,5,1,1,"100.0",50,2,3,66.7,3,47,"15.7",0,23,2,18,"9.0",0,22,3,137,"45.7",17,6,11,3,10,30,1,2,50,10,86,365,71,2.8,1,294,9.8,14.9,2,47,18,86,0,2,2,1,1
"11/28","MIN
      W",17,26,65.4,215,8.3,13.5,1,1,2,15,90.2,10,0,0,39,208,5.3,3,11,26,50,32,18,1,6,1,0,2,1,0,4,0,10,2,3,"66.7",46,4,4,100,0,0,"-",0,0,2,14,"7.0",0,12,3,183,"61.0",23,11,10,5,12,41.7,0,0,0,5,57,423,208,5.3,3,215,8.3,13.5,1,0,14,57,1,1,1,1,0
