"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","FUM","FUML","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","R1st.downs","P1st.downs","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","RushYds.yardage","RushYPA.yardage","RushTD.yardage","PassYds.yardage","PassYPA.yardage","PassYPR.yardage","PassTD.yardage","KRYds.yardage","PRYds.yardage","PenYds.yardage","PlusMinus","OINT.turnovers","FumRec.turnovers","INT.turnovers","FUML.turnovers"
"1/9","@NYG
      W",9,18,50,99,5.5,13.3,0,0,3,21,71.5,4,0,0,37,226,6.1,1,12,7,63,27,36,3,20,2,1,0,1,0,7,0,10,3,3,"100.0",43,1,1,"100.0",2,33,"16.5",0,22,4,23,"5.8",0,12,6,245,"40.8",16,12,4,3,13,23.1,1,1,100,3,29,325,226,6.1,1,99,5.5,13.3,0,33,23,29,3,0,1,2,0
"1/2","PHI
      L",27,36,75,218,6.1,9.1,0,1,3,29,81.6,14,0,0,22,94,4.3,1,8,20,65,42,23,1,2,0,0,0,0,0,4,0,10,3,3,"100.0",55,1,1,"100.0",2,57,"28.5",0,34,0,0,"-",0,0,2,84,"42.0",24,8,14,9,15,60,0,1,0,1,4,312,94,4.3,1,218,6.1,9.1,0,57,0,4,-1,1,0,0,0
"12/26","@DAL
      L",15,32,46.9,172,5.4,12.5,2,2,5,16,60.4,9,0,0,20,85,4.3,0,4,56,69,40,29,3,11,0,0,0,0,0,1,0,2,0,0,"-",0,2,2,"100.0",0,0,"-",0,0,2,14,"7.0",0,7,7,308,"44.0",14,4,9,3,13,23.1,1,2,50,1,13,257,85,4.3,0,172,5.4,12.5,2,0,14,13,-2,2,0,0,0
"12/21","@PHI
      L",20,31,64.5,174,5.6,9.7,0,0,2,20,81.9,8,0,0,21,63,3,2,5,27,81,48,33,3,15,1,0,1,1,0,1,0,5,1,1,"100.0",22,2,2,"100.0",2,67,"33.5",0,39,0,0,"-",0,0,5,240,"48.0",14,5,8,6,13,46.2,0,1,0,2,25,237,63,3,2,174,5.6,9.7,0,67,0,25,2,0,1,1,0
"12/12","DAL
      L",15,34,44.1,124,3.6,11.7,1,1,5,51,57.8,7,0,0,23,100,4.3,1,6,27,76,48,28,4,10,2,1,0,0,0,5,0,0,0,0,"-",0,0,1,"0.0",2,48,"24.0",0,28,0,0,"-",0,0,7,356,"50.9",14,6,7,3,14,21.4,1,2,50,7,65,224,100,4.3,1,124,3.6,11.7,1,48,0,65,-2,1,0,2,3
"12/5","@LV
      W",23,30,76.7,186,6.2,8.5,2,1,1,10,101.5,12,0,0,30,112,3.7,0,7,15,57,36,21,2,15,0,0,0,0,0,5,0,5,1,1,"100.0",48,2,2,"100.0",1,18,"18.0",0,18,2,29,"14.5",0,16,4,197,"49.3",23,7,12,7,13,53.8,0,0,0,6,47,298,112,3.7,0,186,6.2,8.5,2,18,29,47,-1,1,0,0,0
"11/29","SEA
      W",27,35,77.1,219,6.3,8.3,1,1,1,4,90.5,13,0,0,43,152,3.5,1,10,15,39,26,13,2,14,0,0,1,1,0,3,0,3,1,1,"100.0",23,0,1,"0.0",2,43,"21.5",0,31,2,8,"4.0",0,8,5,218,"43.6",27,10,13,5,13,38.5,1,2,50,4,38,371,152,3.5,1,219,6.3,8.3,1,43,8,38,0,1,1,0,0
"11/21","@CAR
      W",16,22,72.7,179,8.1,12.9,3,0,3,27,141.3,10,0,0,40,190,4.8,0,12,21,54,25,29,1,3,0,0,0,0,0,3,0,9,2,2,"100.0",36,3,3,"100.0",2,53,"26.5",0,30,0,0,"-",0,0,3,139,"46.3",24,12,10,6,13,46.2,2,2,100,8,69,369,190,4.8,0,179,8.1,12.9,3,53,0,69,-1,0,0,0,1
"11/14","TB
      W",26,32,81.3,226,7.1,9.8,1,0,5,30,110.4,13,0,0,34,94,2.8,2,8,19,46,29,17,0,0,2,0,0,0,0,4,0,11,3,3,"100.0",46,2,2,"100.0",2,47,"23.5",0,28,1,10,"10.0",0,10,2,89,"44.5",23,8,13,11,19,57.9,2,2,100,3,33,320,94,2.8,2,226,7.1,9.8,1,47,10,33,1,0,0,2,1
"10/31","@DEN
      L",24,39,61.5,230,5.9,11.3,1,2,5,40,69.4,14,0,0,24,112,4.7,0,6,17,55,33,22,4,23,0,0,1,1,0,2,0,4,1,3,"33.3",52,1,1,"100.0",0,0,"-",0,0,1,12,"12.0",0,12,1,66,"66.0",21,6,14,5,14,35.7,1,5,20,4,29,342,112,4.7,0,230,5.9,11.3,1,0,12,29,-1,2,1,0,0
