"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","FUM","FUML","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","R1st.downs","P1st.downs","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","RushYds.yardage","RushYPA.yardage","RushTD.yardage","PassYds.yardage","PassYPA.yardage","PassYPR.yardage","PassTD.yardage","KRYds.yardage","PRYds.yardage","PenYds.yardage","PlusMinus","OINT.turnovers","FumRec.turnovers","INT.turnovers","FUML.turnovers"
"1/8","@NO
      W",5,15,33.3,32,2.1,8.6,0,2,2,11,2.8,4,0,0,41,171,4.2,0,10,7,62,35,27,1,10,0,0,1,1,0,2,0,4,1,1,"100.0",42,1,1,"100.0",1,18,"18.0",0,18,1,2,"2.0",0,2,6,281,46.8,14,10,4,8,14,57.1,0,0,0,2,20,203,171,4.2,0,32,2.1,8.6,0,18,2,20,-1,2,1,0,0
"1/1","@TB
      L",23,37,62.2,326,8.8,14.8,3,1,2,15,108.1,15,0,0,22,74,3.4,0,4,30,79,46,33,3,21,0,0,1,1,0,1,0,6,1,1,"100.0",49,3,3,"100.0",1,36,"36.0",0,36,2,6,"3.0",0,6,5,251,50.2,22,4,15,4,11,36.4,1,2,50,8,58,400,74,3.4,0,326,8.8,14.8,3,36,6,58,-2,1,1,0,2
"12/24","DET
      W",15,22,68.2,250,11.4,16.7,1,0,0,0,121.4,11,0,0,43,320,7.4,3,16,23,49,35,14,2,19,0,0,0,1,0,7,0,13,3,3,"100.0",40,4,4,"100.0",2,46,"23.0",0,29,4,11,"2.8",0,11,3,117,39,30,16,11,3,9,33.3,1,1,100,10,74,570,320,7.4,3,250,11.4,16.7,1,46,11,74,1,0,1,0,0
"12/18","PIT
      L",14,23,60.9,188,8.2,16.1,1,0,4,37,108.1,10,0,0,16,21,1.3,0,0,24,79,44,35,1,10,0,0,0,0,0,2,0,10,3,3,"100.0",52,1,1,"100.0",2,60,"30.0",0,37,0,0,"-",0,0,4,194,48.5,12,0,10,4,11,36.4,0,0,0,5,40,209,21,1.3,0,188,8.2,16.1,1,60,0,40,0,0,0,0,0
"12/11","@SEA
      W",14,24,58.3,105,4.4,8.6,1,0,2,15,85.4,8,0,0,46,223,4.8,2,14,24,42,29,13,3,23,2,0,0,0,0,6,0,12,3,3,"100.0",47,3,3,"100.0",1,24,"24.0",0,24,3,16,"5.3",0,11,2,107,53.5,24,14,8,6,13,46.2,1,2,50,6,29,328,223,4.8,2,105,4.4,8.6,1,24,16,29,2,0,0,2,0
"11/27","DEN
      W",11,19,57.9,164,8.6,14.9,1,0,0,0,103.8,9,0,0,46,185,4,1,10,10,46,35,11,3,17,0,0,2,2,0,4,0,11,3,3,"100.0",42,2,2,"100.0",0,0,"-",0,0,5,44,"8.8",0,21,5,255,51,19,10,9,2,12,16.7,2,2,100,4,34,349,185,4,1,164,8.6,14.9,1,0,44,34,1,0,2,0,1
"11/20","@BAL
      L",21,33,63.6,169,5.1,9.3,0,2,4,27,54.6,7,0,0,17,36,2.1,0,4,13,66,50,16,3,16,1,0,0,0,0,1,0,3,1,1,"100.0",32,0,0,"-",1,8,"8.0",0,8,2,-3,"-1.5",0,0,6,265,44.2,13,4,7,3,12,25,0,1,0,9,66,205,36,2.1,0,169,5.1,9.3,0,8,-3,66,-2,2,0,1,1
"11/10","ATL
      W",10,16,62.5,101,6.3,10.8,0,0,1,7,82.3,4,0,0,47,232,4.9,2,13,15,63,33,30,5,33,1,0,0,0,0,4,0,13,4,4,"100.0",49,1,2,"50.0",1,9,"9.0",0,9,0,0,"-",0,0,5,216,43.2,18,13,4,6,15,40,0,0,0,10,89,333,232,4.9,2,101,6.3,10.8,0,9,0,89,1,0,0,1,0
"11/6","@CIN
      L",17,30,56.7,164,5.5,9.6,2,2,0,0,66.5,8,0,0,18,64,3.6,1,4,42,78,48,30,2,5,0,0,1,0,0,3,0,3,0,0,"-",0,3,3,"100.0",3,96,"32.0",0,66,1,5,"5.0",0,5,5,270,54,13,4,8,2,8,25,1,1,100,7,50,228,64,3.6,1,164,5.5,9.6,2,96,5,50,-3,2,0,0,1
"10/30","@ATL
      L",19,36,52.8,309,8.6,16.7,1,1,1,8,80.4,12,0,0,36,169,4.7,3,10,37,73,45,28,2,14,2,0,1,0,0,6,0,8,2,3,"66.7",42,2,3,"66.7",0,0,"-",0,0,4,46,"11.5",0,22,3,141,47,23,10,12,5,13,38.5,1,2,50,9,74,478,169,4.7,3,309,8.6,16.7,1,0,46,74,1,1,0,2,0
