"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","FUM","FUML","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","R1st.downs","P1st.downs","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","RushYds.yardage","RushYPA.yardage","RushTD.yardage","PassYds.yardage","PassYPA.yardage","PassYPR.yardage","PassTD.yardage","KRYds.yardage","PRYds.yardage","PenYds.yardage","PlusMinus","OINT.turnovers","FumRec.turnovers","INT.turnovers","FUML.turnovers"
"1/8","MIN
      L",13,27,48.1,141,5.2,11.3,1,2,1,6,46.4,9,0,0,22,118,5.4,1,4,29,89,55,34,0,0,1,0,2,1,0,2,0,1,0,0,"-",0,1,1,"100.0",4,82,"20.5",0,25,1,-2,"-2.0",0,-2,3,111,37,13,4,9,2,9,22.2,0,3,0,2,20,259,118,5.4,1,141,5.2,11.3,1,82,-2,20,0,2,1,1,0
"1/1","@DET
      L",7,21,33.3,30,1.4,10.7,1,1,7,45,40.8,2,0,0,22,200,9.1,0,5,41,74,46,28,2,16,0,0,0,0,0,1,0,4,1,1,"100.0",23,1,1,"100.0",1,63,"63.0",0,63,1,10,"10.0",0,10,7,321,45.9,9,5,2,3,13,23.1,0,1,0,3,49,230,200,9.1,0,30,1.4,10.7,1,63,10,49,-2,1,0,0,1
"12/24","BUF
      L",18,28,64.3,129,4.6,8,1,1,2,15,74.1,6,0,0,29,80,2.8,0,4,35,51,36,15,1,0,2,0,1,1,0,4,0,7,2,2,"100.0",37,1,1,"100.0",4,113,"28.3",0,40,1,12,"12.0",0,12,4,197,49.3,11,4,6,2,12,16.7,1,4,25,2,15,209,80,2.8,0,129,4.6,8,1,113,12,15,1,1,1,2,1
"12/18","PHI
      L",14,22,63.6,91,4.1,10.9,2,0,6,61,114.2,8,0,0,30,157,5.2,1,7,25,62,47,15,1,6,2,0,1,1,0,7,0,2,0,0,"-",0,2,3,"66.7",2,53,"26.5",0,29,2,24,"12.0",0,20,6,252,42,15,7,8,5,13,38.5,0,1,0,6,30,248,157,5.2,1,91,4.1,10.9,2,53,24,30,2,0,1,2,1
"12/4","GB
      L",20,25,80,254,10.2,12.7,0,2,0,0,75.7,8,0,0,25,155,6.2,2,7,28,59,40,19,0,0,0,0,0,0,0,0,0,7,2,3,"66.7",40,1,2,"50.0",5,142,"28.4",0,42,1,18,"18.0",0,18,1,39,39,15,7,8,6,11,54.5,0,0,0,5,63,409,155,6.2,2,254,10.2,12.7,0,142,18,63,-3,2,0,0,1
"11/27","@NYJ
      L",14,25,56,165,6.6,12.8,1,1,2,14,75.3,7,0,0,29,127,4.4,0,7,31,71,37,34,1,7,0,0,0,0,0,3,0,4,1,1,"100.0",22,1,1,"100.0",0,0,"-",0,0,1,12,"12.0",0,12,5,244,48.8,14,7,7,4,13,30.8,2,3,66.7,1,10,292,127,4.4,0,165,6.6,12.8,1,0,12,10,-1,1,0,0,0
"11/20","@ATL
      L",14,21,66.7,128,6.1,10.9,1,1,4,25,84,7,0,0,41,160,3.9,2,12,27,55,38,17,0,0,0,0,2,2,0,1,0,6,1,2,"50.0",41,3,3,"100.0",1,55,"55.0",0,55,0,0,"-",0,0,4,160,40,20,12,7,9,16,56.3,0,0,0,7,56,288,160,3.9,2,128,6.1,10.9,1,55,0,56,1,1,2,0,0
"11/13","DET
      L",12,20,60,150,7.5,13.9,2,1,3,17,99.4,6,0,0,35,258,7.4,2,12,31,56,45,11,2,8,0,0,0,0,0,2,0,6,1,1,"100.0",33,3,4,"75.0",2,67,"33.5",0,50,3,44,"14.7",0,18,3,129,43,19,12,6,6,11,54.5,0,1,0,9,86,408,258,7.4,2,150,7.5,13.9,2,67,44,86,-1,1,0,0,0
"11/6","MIA
      L",17,28,60.7,116,4.1,7.2,3,0,2,7,106.7,7,0,0,40,252,6.3,1,15,35,43,36,7,0,0,0,0,0,0,0,2,0,6,1,1,"100.0",32,3,3,"100.0",1,30,"30.0",0,30,1,2,"2.0",0,2,3,83,27.7,23,15,7,10,16,62.5,1,2,50,4,92,368,252,6.3,1,116,4.1,7.2,3,30,2,92,0,0,0,0,0
"10/30","@DAL
      L",18,24,75,131,5.5,8.7,2,0,4,25,119.4,4,0,0,43,240,5.6,2,15,49,52,36,16,1,8,1,0,0,0,0,3,0,5,1,1,"100.0",36,2,2,"100.0",1,22,"22.0",0,22,1,9,"9.0",0,9,4,203,50.8,22,15,4,6,15,40,2,3,66.7,6,45,371,240,5.6,2,131,5.5,8.7,2,22,9,45,0,0,0,1,1
"10/24","@NE
      W",13,21,61.9,147,7,13.8,1,1,4,32,85.2,10,0,0,45,243,5.4,2,13,14,40,29,11,1,8,3,0,0,1,0,7,0,15,4,4,"100.0",50,3,3,"100.0",2,49,"24.5",0,27,3,33,"11.0",0,27,2,81,40.5,24,13,10,11,18,61.1,0,1,0,4,35,390,243,5.4,2,147,7,13.8,1,49,33,35,3,1,1,3,0
"10/13","WAS
      L",14,27,51.9,154,5.7,13.6,1,1,5,36,71.5,9,0,0,37,237,6.4,0,9,12,56,35,21,3,13,0,0,1,0,0,4,0,1,0,0,"-",0,1,1,"100.0",1,22,"22.0",0,22,3,16,"5.3",0,10,4,185,46.3,20,9,9,5,13,38.5,1,4,25,4,42,391,237,6.4,0,154,5.7,13.6,1,22,16,42,-2,1,0,0,1
"10/9","@MIN
      L",15,21,71.4,193,9.2,13.9,1,0,2,15,118.8,9,0,0,24,78,3.3,1,4,29,76,51,25,1,7,1,0,1,0,0,3,0,10,3,3,"100.0",51,1,1,"100.0",2,39,"19.5",0,24,0,0,"-",0,0,2,112,56,14,4,9,4,10,40,1,1,100,6,40,271,78,3.3,1,193,9.2,13.9,1,39,0,40,0,0,0,1,1
