"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","FUM","FUML","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","R1st.downs","P1st.downs","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","RushYds.yardage","RushYPA.yardage","RushTD.yardage","PassYds.yardage","PassYPA.yardage","PassYPR.yardage","PassTD.yardage","KRYds.yardage","PRYds.yardage","PenYds.yardage","PlusMinus","OINT.turnovers","FumRec.turnovers","INT.turnovers","FUML.turnovers"
"1/8","@PIT
      L",19,29,65.5,173,6,12.1,2,2,7,57,84,11,0,0,22,134,6.1,0,5,28,68,35,33,1,6,0,0,1,1,0,7,0,2,0,0,"-",0,2,2,"100.0",5,93,18.6,0,35,1,5,"5.0",0,5,4,194,48.5,18,5,11,5,12,41.7,1,2,50,9,65,307,134,6.1,0,173,6,12.1,2,93,5,65,-1,2,1,0,0
"1/1","@WAS
      W",9,18,50,155,8.6,18.8,3,0,5,14,122.5,7,0,0,30,146,4.9,0,8,10,75,43,32,3,19,3,0,0,0,0,5,0,6,1,1,"100.0",37,3,3,"100.0",1,23,23,0,23,1,10,"10.0",0,10,4,187,46.8,16,8,7,4,11,36.4,1,2,50,3,20,301,146,4.9,0,155,8.6,18.8,3,23,10,20,3,0,0,3,0
"12/24","NO
      L",15,31,48.4,125,4,9,0,1,2,10,47.1,7,0,0,34,124,3.6,1,7,17,59,38,21,0,0,1,0,0,0,0,4,0,4,1,1,"100.0",30,1,1,"100.0",3,95,31.7,0,37,2,15,"7.5",0,12,5,213,42.6,15,7,7,7,16,43.8,1,3,33.3,4,45,249,124,3.6,1,125,4,9,0,95,15,45,0,1,0,1,0
"12/17","BAL
      W",18,28,64.3,140,5,8.9,1,0,3,21,91.5,10,0,0,33,143,4.3,0,8,3,57,39,18,3,12,1,0,1,1,0,6,0,7,2,4,"50.0",47,1,1,"100.0",1,21,21,0,21,0,0,"-",0,0,3,155,51.7,19,8,10,5,15,33.3,2,2,100,3,32,283,143,4.3,0,140,5,8.9,1,21,0,32,2,0,1,1,0
"12/11","@CIN
      L",26,43,60.5,273,6.3,10.6,1,1,2,3,77.3,12,0,0,25,71,2.8,0,6,23,52,32,20,2,12,1,0,0,0,0,8,0,4,1,1,"100.0",26,1,1,"100.0",4,87,21.8,0,29,3,15,"5.0",0,8,4,220,55,18,6,12,4,15,26.7,3,6,50,9,98,344,71,2.8,0,273,6.3,10.6,1,87,15,98,0,1,0,1,0
"12/4","@HOU
      W",12,22,54.5,130,5.9,10.9,0,1,1,1,53.4,6,0,0,38,174,4.6,0,7,14,64,30,34,0,0,2,1,2,2,1,7,0,9,2,2,"100.0",43,3,3,"100.0",3,48,16,0,23,3,86,"28.7",1,76,6,311,51.8,14,7,6,4,13,30.8,0,0,0,6,56,304,174,4.6,0,130,5.9,10.9,0,48,86,56,2,1,2,2,1
"11/27","TB
      W",23,37,62.2,178,4.8,9.1,1,1,4,32,75.3,10,0,0,34,189,5.6,2,10,17,63,39,24,3,17,0,0,0,0,0,7,0,5,1,2,"50.0",51,2,2,"100.0",2,67,33.5,0,44,5,75,"15.0",0,29,6,329,54.8,22,10,10,5,17,29.4,2,4,50,5,42,367,189,5.6,2,178,4.8,9.1,1,67,75,42,-1,1,0,0,0
"11/20","@BUF
      L",28,41,68.3,316,7.7,11.6,3,0,1,8,116.3,19,0,0,26,80,3.1,0,5,31,66,42,24,2,11,0,0,0,0,0,0,0,5,1,2,"50.0",32,2,2,"100.0",2,49,24.5,0,28,0,0,"-",0,0,3,127,42.3,27,5,19,4,11,36.4,1,2,50,6,42,396,80,3.1,0,316,7.7,11.6,3,49,0,42,-1,0,0,0,1
"11/13","@MIA
      L",22,35,62.9,185,5.3,9.6,1,0,3,27,89.2,10,0,0,24,112,4.7,1,7,39,66,43,23,1,6,0,0,0,0,0,3,0,5,1,1,"100.0",37,2,2,"100.0",3,95,31.7,0,48,0,0,"-",0,0,1,41,41,20,7,10,5,12,41.7,2,5,40,6,52,297,112,4.7,1,185,5.3,9.6,1,95,0,52,-1,0,0,0,1
"10/31","CIN
      W",17,23,73.9,268,11.7,16.4,1,1,2,10,110.4,12,0,0,44,172,3.9,3,12,13,51,29,22,5,39,1,0,1,1,0,6,0,6,1,2,"50.0",55,3,3,"100.0",1,11,11,0,11,1,11,"11.0",0,11,2,67,33.5,24,12,12,8,13,61.5,0,0,0,6,56,440,172,3.9,3,268,11.7,16.4,1,11,11,56,0,1,1,1,1
