"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","FUM","FUML","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","R1st.downs","P1st.downs","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","RushYds.yardage","RushYPA.yardage","RushTD.yardage","PassYds.yardage","PassYPA.yardage","PassYPR.yardage","PassTD.yardage","KRYds.yardage","PRYds.yardage","PenYds.yardage","PlusMinus","OINT.turnovers","FumRec.turnovers","INT.turnovers","FUML.turnovers"
"1/8","@IND
      W",24,40,60,301,7.5,13,3,2,1,10,88.6,15,0,0,23,59,2.6,0,3,31,74,49,25,2,7,2,1,1,1,0,5,0,6,1,1,100,37,3,3,"100.0",1,19,"19.0",0,19,1,16,"16.0",0,16,4,170,42.5,18,3,15,5,14,35.7,2,2,100,7,41,360,59,2.6,0,301,7.5,13,3,19,16,41,0,2,1,2,1
"1/1","JAX
      L",25,44,56.8,193,4.4,8.4,0,0,2,18,69.4,9,0,0,21,84,4,0,3,31,60,46,14,2,13,2,0,0,0,0,2,0,3,1,1,100,56,0,0,"-",4,99,"24.8",0,31,1,16,"16.0",0,16,6,274,45.7,13,3,9,6,17,35.3,0,4,0,7,45,277,84,4,0,193,4.4,8.4,0,99,16,45,1,0,0,2,1
"12/24","@TEN
      W",20,32,62.5,215,6.7,10.9,1,1,1,3,79.9,8,0,0,30,70,2.3,0,7,14,63,46,17,4,11,2,0,2,1,0,5,0,7,2,2,100,25,1,1,"100.0",2,51,"25.5",0,26,5,41,"8.2",0,15,5,221,44.2,15,7,8,5,14,35.7,0,1,0,4,35,285,70,2.3,0,215,6.7,10.9,1,51,41,35,2,1,1,2,0
"12/18","KC
      L",14,29,48.3,125,4.3,9.2,2,0,1,4,83.8,8,0,0,28,94,3.4,1,5,30,83,59,24,2,23,0,0,2,2,0,2,0,6,1,1,100,29,3,3,"100.0",0,0,"-",0,0,3,23,"7.7",0,13,5,234,46.8,18,5,8,4,10,40,0,0,0,4,33,219,94,3.4,1,125,4.3,9.2,2,0,23,33,1,0,2,0,1
"12/11","@DAL
      L",20,27,74.1,213,7.9,10.6,1,1,0,0,93.6,10,0,0,37,114,3.1,1,6,27,70,39,31,1,7,2,0,1,1,0,11,0,11,3,3,100,54,2,2,"100.0",0,0,"-",0,0,3,36,"12.0",0,15,4,197,49.3,16,6,10,7,15,46.7,0,2,0,4,25,327,114,3.1,1,213,7.9,10.6,1,0,36,25,1,1,1,2,1
"12/4","CLE
      L",20,39,51.3,201,5.2,10.1,1,2,0,0,53.5,10,0,0,22,82,3.7,0,4,27,68,38,30,1,1,1,0,2,1,0,3,1,6,2,2,100,44,0,0,"-",3,92,"30.7",0,50,3,42,"14.0",0,20,7,354,50.6,16,4,10,1,12,8.3,1,2,50,5,31,283,82,3.7,0,201,5.2,10.1,1,92,42,31,-2,2,1,1,2
"11/27","@MIA
      L",26,39,66.7,174,4.5,8.3,1,2,5,41,67.8,9,0,0,14,36,2.6,1,3,30,60,46,14,5,32,0,0,0,1,0,3,0,3,1,1,100,28,0,0,"-",2,33,"16.5",0,19,5,81,"16.2",0,26,7,350,50,14,3,9,2,13,15.4,1,1,100,5,45,210,36,2.6,1,174,4.5,8.3,1,33,81,45,-2,2,1,0,1
"11/20","WAS
      L",19,33,57.6,127,3.8,8.9,0,2,5,42,46.1,6,0,0,16,21,1.3,1,4,23,72,39,33,0,0,0,0,0,0,0,0,0,4,1,1,100,29,1,1,"100.0",0,0,"-",0,0,2,14,"7.0",0,9,6,286,47.7,11,4,6,2,13,15.4,4,4,100,2,15,148,21,1.3,1,127,3.8,8.9,0,0,14,15,-2,2,0,0,0
"11/13","@NYG
      L",22,37,59.5,286,7.7,14.5,1,1,4,33,85.3,15,0,0,19,101,5.3,0,6,24,82,50,32,3,21,0,0,0,0,0,1,0,10,3,3,100,46,1,1,"100.0",1,32,"32.0",0,32,3,17,"5.7",0,13,5,229,45.8,22,6,15,3,10,30,0,0,0,7,40,387,101,5.3,0,286,7.7,14.5,1,32,17,40,-2,1,0,0,1
"11/3","PHI
      L",13,22,59.1,135,6.1,11.8,2,2,3,19,72.9,8,0,0,32,168,5.3,0,10,29,64,47,17,4,26,0,0,2,1,0,1,0,5,1,1,100,30,2,2,"100.0",0,0,"-",0,0,1,-2,"-2.0",0,-2,4,208,52,20,10,8,2,9,22.2,0,0,0,4,24,303,168,5.3,0,135,6.1,11.8,2,0,-2,24,-1,2,1,0,0
"10/30","TEN
      L",17,30,56.7,118,3.9,8.9,1,1,3,34,67.6,5,0,0,18,43,2.4,0,4,17,66,44,22,3,15,1,0,1,1,0,1,0,4,1,1,100,43,1,1,"100.0",2,39,"19.5",0,20,3,18,"6.0",0,12,8,374,46.8,10,4,5,2,14,14.3,2,2,100,6,45,161,43,2.4,0,118,3.9,8.9,1,39,18,45,1,1,1,1,0
"10/23","@LV
      L",28,41,68.3,296,7.2,10.8,2,1,1,6,95.8,12,0,0,23,108,4.7,0,9,38,46,39,7,1,5,0,0,0,0,0,1,0,8,2,3,66.7,55,2,2,"100.0",4,78,"19.5",0,25,1,1,"1.0",0,1,1,55,55,21,9,12,9,15,60,1,2,50,3,14,404,108,4.7,0,296,7.2,10.8,2,78,1,14,-1,1,0,0,0
"10/9","@JAX
      W",16,24,66.7,132,5.5,8.8,0,0,1,8,81.9,6,0,0,31,116,3.7,1,7,6,61,45,16,0,0,2,0,0,0,0,8,0,7,2,2,100,51,1,1,"100.0",1,24,"24.0",0,24,2,13,"6.5",0,10,6,293,48.8,15,7,6,5,13,38.5,0,0,0,4,25,248,116,3.7,1,132,5.5,8.8,0,24,13,25,2,0,0,2,0
"10/2","LAC
      L",26,35,74.3,215,6.1,9.5,2,2,4,31,88.5,11,0,0,14,131,9.4,1,2,34,65,41,24,1,2,0,0,1,1,0,2,0,6,1,2,50,40,3,3,"100.0",1,24,"24.0",0,24,2,8,"4.0",0,4,3,156,52,16,2,11,4,12,33.3,0,2,0,9,67,346,131,9.4,1,215,6.1,9.5,2,24,8,67,-1,2,1,0,0
"9/25","@CHI
      L",20,32,62.5,237,7.4,12.3,1,2,1,8,70.4,9,0,0,24,92,3.8,1,6,23,63,42,21,5,24,2,0,0,0,0,3,0,8,2,2,100,39,2,2,"100.0",0,0,"-",0,0,1,31,"31.0",0,31,5,242,48.4,17,6,9,3,12,25,1,1,100,3,25,329,92,3.8,1,237,7.4,12.3,1,0,31,25,0,2,0,2,0
