"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","FUM","FUML","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","R1st.downs","P1st.downs","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","RushYds.yardage","RushYPA.yardage","RushTD.yardage","PassYds.yardage","PassYPA.yardage","PassYPR.yardage","PassTD.yardage","KRYds.yardage","PRYds.yardage","PenYds.yardage","PlusMinus","OINT.turnovers","FumRec.turnovers","INT.turnovers","FUML.turnovers"
"1/7","KC
      L",22,36,61.1,180,5,10,1,1,6,39,76,13,0,0,25,99,4,0,6,31,55,36,19,2,21,0,0,0,0,0,3,0,7,2,2,"100.0",54,1,1,"100.0",1,25,"25.0",0,25,2,8,"4.0",0,8,2,122,61,21,6,13,8,16,50,0,2,0,6,47,279,99,4,0,180,5,10,1,25,8,47,-2,1,0,0,1
"1/1","SF
      L",23,34,67.6,365,10.7,15.9,3,2,0,0,108.1,15,0,0,32,135,4.2,1,10,37,58,36,22,0,0,1,0,0,0,0,5,0,10,2,2,"100.0",57,4,4,"100.0",0,0,"-",0,0,0,0,"-",0,0,2,81,40.5,29,10,15,4,10,40,0,1,0,6,49,500,135,4.2,1,365,10.7,15.9,3,0,0,49,-1,2,0,1,0
"12/24","@PIT
      L",16,30,53.3,143,4.8,10.9,1,3,3,31,42.2,9,0,0,19,58,3.1,0,4,13,73,47,26,0,0,1,0,0,0,0,3,0,4,1,1,"100.0",40,1,1,"100.0",3,50,"16.7",0,23,1,13,"13.0",0,13,5,208,41.6,13,4,9,6,12,50,0,0,0,2,20,201,58,3.1,0,143,4.8,10.9,1,50,13,20,-2,3,0,1,0
"12/18","NE
      W",20,38,52.6,211,5.6,11.6,3,1,3,20,86.6,10,0,0,23,97,4.2,0,6,24,55,31,24,0,0,0,0,1,1,1,6,0,6,1,1,"100.0",49,3,3,"100.0",6,126,"21.0",0,30,3,20,"6.7",0,12,7,324,46.3,18,6,10,5,14,35.7,1,1,100,13,90,308,97,4.2,0,211,5.6,11.6,3,126,20,90,0,1,1,0,0
"12/8","@LAR
      L",11,20,55,137,6.8,12.5,0,2,0,0,36.9,6,0,0,38,165,4.3,1,8,17,57,39,18,4,19,0,0,1,1,0,3,0,10,3,3,"100.0",52,1,1,"100.0",1,15,"15.0",0,15,0,0,"-",0,0,3,148,49.3,17,8,6,5,13,38.5,1,1,100,7,94,302,165,4.3,1,137,6.8,12.5,0,15,0,94,-1,2,1,0,0
"12/4","LAC
      W",16,30,53.3,250,8.3,15.6,2,1,0,0,89.6,11,0,0,29,154,5.3,1,7,20,68,46,22,5,21,0,0,2,1,0,4,0,9,2,3,"66.7",55,3,3,"100.0",0,0,"-",0,0,0,0,"-",0,0,4,181,45.3,21,7,11,3,10,30,0,0,0,3,15,404,154,5.3,1,250,8.3,15.6,2,0,0,15,-1,1,1,0,1
"11/27","@SEA
      W",25,36,69.4,293,8.1,11.8,3,2,1,2,98.7,14,0,0,40,283,7.1,2,13,34,60,38,22,3,21,1,0,0,1,0,4,0,10,2,3,"66.7",36,4,4,"100.0",3,73,"24.3",0,33,3,11,"3.7",0,11,2,91,45.5,27,13,14,8,14,57.1,1,2,50,7,50,576,283,7.1,2,293,8.1,11.8,3,73,11,50,0,2,1,1,0
"11/20","@DEN
      W",23,37,62.2,298,8.1,13.3,2,0,1,9,106.5,10,0,0,24,109,4.5,0,8,16,63,41,22,3,21,0,0,1,0,0,0,0,10,3,4,"75.0",57,1,1,"100.0",3,69,"23.0",0,28,4,28,"7.0",0,12,4,187,46.8,20,8,10,3,11,27.3,0,0,0,9,98,407,109,4.5,0,298,8.1,13.3,2,69,28,98,0,0,0,0,0
"11/13","IND
      L",24,38,63.2,232,6.1,10.3,2,0,2,16,99.5,10,0,0,24,77,3.2,1,7,25,63,35,28,1,14,0,0,2,1,0,4,0,2,0,0,"-",0,2,2,"100.0",3,86,"28.7",0,30,2,17,"8.5",0,9,5,294,58.8,18,7,10,5,13,38.5,1,3,33.3,10,74,309,77,3.2,1,232,6.1,10.3,2,86,17,74,1,0,1,0,0
"11/6","@JAX
      L",21,36,58.3,248,6.9,12.3,2,0,2,11,99.2,11,0,0,19,73,3.8,0,5,27,74,44,30,0,0,0,0,0,1,0,2,0,8,2,2,"100.0",38,2,2,"100.0",2,21,"10.5",0,14,3,29,"9.7",0,17,4,196,49,16,5,11,3,12,25,1,3,33.3,5,45,321,73,3.8,0,248,6.9,12.3,2,21,29,45,0,0,1,0,1
