"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","FUM","FUML","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","R1st.downs","P1st.downs","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","RushYds.yardage","RushYPA.yardage","RushTD.yardage","PassYds.yardage","PassYPA.yardage","PassYPR.yardage","PassTD.yardage","KRYds.yardage","PRYds.yardage","PenYds.yardage","PlusMinus","OINT.turnovers","FumRec.turnovers","INT.turnovers","FUML.turnovers"
"1/15","@BUF
      L",18,45,40,189,4.2,12.2,1,2,4,31,44.7,12,0,0,20,42,2.1,1,3,34,65,44,21,7,36,2,0,3,1,1,6,0,11,3,3,"100.0",48,2,2,"100.0",1,23,"23.0",0,23,2,53,"26.5",0,50,6,262,"43.7",16,3,12,4,16,25,1,2,50,7,34,231,42,2.1,1,189,4.2,12.2,1,23,53,34,1,2,1,2,0
"1/8","NYJ
      W",20,31,64.5,140,4.5,7.6,0,0,1,12,76.3,7,0,0,32,162,5.1,0,9,6,48,31,17,0,0,0,0,2,0,0,7,1,9,3,3,"100.0",50,0,0,"-",0,0,"-",0,0,0,0,"-",0,0,4,181,"45.3",17,9,7,4,13,30.8,1,2,50,5,47,302,162,5.1,0,140,4.5,7.6,0,0,0,47,0,0,0,0,0
"1/1","@NE
      L",24,40,60,247,6.2,11,2,2,2,18,75.5,15,0,0,27,86,3.2,1,4,23,52,33,19,3,31,0,0,0,0,0,3,0,3,0,1,"0.0",0,3,3,"100.0",3,79,"26.3",0,31,3,13,"4.3",0,10,4,189,"47.3",21,4,15,4,14,28.6,2,3,66.7,9,71,333,86,3.2,1,247,6.2,11,2,79,13,71,-2,2,0,0,0
"12/25","GB
      L",16,25,64,294,11.8,19.4,1,3,2,16,80.8,10,0,0,18,82,4.6,1,5,26,56,46,10,2,16,1,0,0,0,0,7,0,8,2,3,"66.7",46,2,2,"100.0",7,122,"17.4",0,27,0,0,"-",0,0,1,46,"46.0",15,5,10,2,7,28.6,1,1,100,8,62,376,82,4.6,1,294,11.8,19.4,1,122,0,62,-3,3,0,1,1
"12/17","@BUF
      L",17,30,56.7,217,7.2,13.8,2,0,2,17,104,9,0,0,25,188,7.5,1,8,32,62,43,19,2,8,0,0,2,1,0,2,0,11,3,3,"100.0",47,2,2,"100.0",1,28,"28.0",0,28,0,0,"-",0,0,4,167,"41.8",20,8,9,5,14,35.7,1,1,100,8,51,405,188,7.5,1,217,7.2,13.8,2,28,0,51,1,0,1,0,0
"12/11","@LAC
      L",10,28,35.7,127,4.5,14.5,1,0,2,18,65.3,6,0,0,19,92,4.8,0,6,23,72,50,22,4,17,0,0,0,0,0,0,0,5,1,1,"100.0",55,2,2,"100.0",0,0,"-",0,0,0,0,"-",0,0,7,327,"46.7",14,6,6,3,11,27.3,0,0,0,6,50,219,92,4.8,0,127,4.5,14.5,1,0,0,50,0,0,0,0,0
"12/4","@SF
      L",18,34,52.9,275,8.1,16.4,2,3,3,20,65.2,11,0,0,8,33,4.1,0,2,33,80,50,30,4,36,1,0,1,0,0,4,0,5,1,1,"100.0",43,2,2,"100.0",2,34,"17.0",0,25,2,21,"10.5",0,14,4,206,"51.5",14,2,11,0,7,0,1,2,50,8,68,308,33,4.1,0,275,8.1,16.4,2,34,21,68,-3,3,0,1,1
"11/27","HOU
      W",23,41,56.1,273,6.7,13.3,1,0,5,32,88,18,0,0,26,66,2.5,1,4,15,53,37,16,5,41,2,0,3,1,1,6,0,12,3,3,"100.0",45,3,3,"100.0",0,0,"-",0,0,3,22,"7.3",0,15,6,296,"49.3",25,4,18,4,15,26.7,1,1,100,4,35,339,66,2.5,1,273,6.7,13.3,1,0,22,35,2,0,1,2,1
"11/13","CLE
      W",26,33,78.8,296,9,11.6,3,0,1,6,135.1,17,0,0,33,195,5.9,2,11,17,63,35,28,3,27,0,0,1,1,0,8,0,9,2,2,"100.0",39,3,5,"60.0",3,60,"20.0",0,24,1,8,"8.0",0,8,0,0,"-",29,11,17,6,11,54.5,1,2,50,5,43,491,195,5.9,2,296,9,11.6,3,60,8,43,1,0,1,0,0
"11/6","@CHI
      W",21,30,70,302,10.1,14.4,3,0,0,0,135.7,15,0,0,23,77,3.3,1,3,32,69,46,23,2,7,0,0,0,0,0,1,0,5,0,1,"0.0",0,5,5,"100.0",1,18,"18.0",0,18,1,8,"8.0",0,8,1,51,"51.0",21,3,15,5,10,50,0,2,0,3,38,379,77,3.3,1,302,10.1,14.4,3,18,8,38,0,0,0,0,0
"10/30","@DET
      W",29,36,80.6,369,10.3,13.2,3,0,2,13,138.7,18,0,0,26,107,4.1,1,8,27,56,38,18,1,10,0,0,0,0,0,3,0,7,1,1,"100.0",45,4,4,"100.0",1,13,"13.0",0,13,2,24,"12.0",0,13,1,38,"38.0",27,8,18,8,12,66.7,1,1,100,7,55,476,107,4.1,1,369,10.3,13.2,3,13,24,55,-1,0,0,0,1
"10/23","PIT
      W",21,35,60,261,7.5,12.4,1,0,0,0,92.7,12,0,0,27,111,4.1,0,5,10,75,49,26,2,11,3,0,0,0,0,4,0,10,3,3,"100.0",47,1,1,"100.0",2,28,"14.0",0,28,1,1,"1.0",0,1,6,256,"42.7",17,5,12,4,14,28.6,0,1,0,5,30,372,111,4.1,0,261,7.5,12.4,1,28,1,30,3,0,0,3,0
"10/16","MIN
      L",30,47,63.8,385,8.2,13.9,2,2,6,33,88.8,18,0,0,20,73,3.7,0,5,24,50,28,22,3,19,0,0,1,0,0,5,0,4,1,2,"50.0",44,1,1,"100.0",1,25,"25.0",0,25,3,2,"0.7",0,4,6,307,"51.2",23,5,18,4,14,28.6,1,2,50,10,97,458,73,3.7,0,385,8.2,13.9,2,25,2,97,-3,2,0,0,1
