"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","FUM","FUML","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","R1st.downs","P1st.downs","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","RushYds.yardage","RushYPA.yardage","RushTD.yardage","PassYds.yardage","PassYPA.yardage","PassYPR.yardage","PassTD.yardage","KRYds.yardage","PRYds.yardage","PenYds.yardage","PlusMinus","OINT.turnovers","FumRec.turnovers","INT.turnovers","FUML.turnovers"
"1/8","CAR
      L",15,25,60,161,6.4,11.4,1,0,1,10,93.9,7,0,0,32,143,4.5,0,7,10,65,35,30,2,11,2,0,2,0,0,4,0,1,0,2,"0.0",0,1,1,"100.0",0,0,"-",0,0,0,0,"-",0,0,5,224,44.8,16,7,7,4,13,30.8,0,1,0,2,15,304,143,4.5,0,161,6.4,11.4,1,0,0,15,1,0,0,2,1
"1/1","@PHI
      W",20,24,83.3,184,7.7,11.4,0,1,7,45,89.1,10,0,0,35,129,3.7,1,8,10,48,36,12,6,28,1,1,2,0,0,5,0,8,2,2,"100.0",54,2,2,"100.0",1,27,"27.0",0,27,3,18,"6.0",0,9,6,256,42.7,19,8,10,7,16,43.8,1,1,100,3,20,313,129,3.7,1,184,7.7,11.4,0,27,18,20,0,1,0,1,0
"12/24","@CLE
      W",8,15,53.3,92,6.1,11.5,0,1,0,0,44.3,5,0,0,39,152,3.9,2,8,10,72,39,33,2,10,1,0,0,0,0,3,0,5,1,1,"100.0",23,2,2,"100.0",2,47,"23.5",0,30,1,0,"0.0",0,0,6,254,42.3,14,8,5,7,15,46.7,0,0,0,2,15,244,152,3.9,2,92,6.1,11.5,0,47,0,15,0,1,0,1,0
"12/18","ATL
      W",13,19,68.4,214,11.3,17.8,3,0,2,17,149.3,11,0,0,34,134,3.9,0,6,18,67,47,20,4,8,0,0,1,1,0,8,0,3,0,0,"-",0,3,3,"100.0",0,0,"-",0,0,2,1,"0.5",0,1,4,181,45.3,17,6,11,5,11,45.5,0,1,0,6,46,348,134,3.9,0,214,11.3,17.8,3,0,1,46,0,0,1,0,1
"12/5","@TB
      L",21,29,72.4,232,8,11.9,1,0,2,18,109.8,12,0,0,25,66,2.6,0,1,17,67,41,26,1,7,1,0,1,1,0,7,0,10,3,3,"100.0",38,1,1,"100.0",1,30,"30.0",0,30,2,59,"29.5",0,42,6,262,43.7,14,1,12,5,14,35.7,0,0,0,6,84,298,66,2.6,0,232,8,11.9,1,30,59,84,2,0,1,1,0
"11/27","@SF
      L",18,30,60,197,6.6,11.3,0,0,1,7,80.4,8,0,0,22,63,2.9,0,4,13,72,44,28,1,1,0,0,0,0,0,4,0,0,0,1,"0.0",0,0,0,"-",3,60,"20.0",0,26,2,18,"9.0",0,11,4,183,45.8,14,4,8,4,11,36.4,0,1,0,6,46,260,63,2.9,0,197,6.6,11.3,0,60,18,46,-2,0,0,0,2
"11/20","LAR
      W",22,28,78.6,235,8.4,12.5,3,0,4,39,143.2,14,0,0,24,88,3.7,0,4,20,63,37,26,4,35,0,0,0,0,0,5,0,9,2,2,"100.0",46,3,3,"100.0",0,0,"-",0,0,4,40,"10.0",0,17,5,239,47.8,19,4,14,4,11,36.4,0,0,0,2,15,323,88,3.7,0,235,8.4,12.5,3,0,40,15,0,0,0,0,0
"11/13","@PIT
      L",17,28,60.7,157,5.6,10.2,1,2,2,17,60.7,8,0,0,15,29,1.9,0,1,20,84,54,30,6,37,0,0,1,0,0,2,0,4,1,1,"100.0",44,1,1,"100.0",4,93,"23.3",0,31,0,0,"-",0,0,5,259,51.8,10,1,8,3,12,25,0,1,0,10,74,186,29,1.9,0,157,5.6,10.2,1,93,0,74,-2,2,0,0,0
"11/7","BAL
      L",20,30,66.7,195,6.5,11.1,1,1,4,28,85.8,10,0,0,15,48,3.2,0,2,27,62,46,16,3,2,0,0,0,0,0,1,0,7,2,2,"100.0",37,1,1,"100.0",2,33,"16.5",0,20,1,8,"8.0",0,8,5,232,46.4,13,2,10,3,11,27.3,1,1,100,5,40,243,48,3.2,0,195,6.5,11.1,1,33,8,40,-1,1,0,0,0
"10/30","LV
      W",23,31,74.2,231,7.5,10,2,0,0,0,116.5,12,0,0,32,136,4.3,1,9,0,47,30,17,4,28,1,0,0,0,0,7,0,6,1,2,"50.0",37,3,3,"100.0",0,0,"-",0,0,2,15,"7.5",0,10,2,80,40,22,9,12,7,12,58.3,0,1,0,5,27,367,136,4.3,1,231,7.5,10,2,0,15,27,1,0,0,1,0
"10/20","@ARI
      L",32,49,65.3,409,8.3,12.8,4,3,0,0,93,17,0,0,22,85,3.9,0,7,42,60,39,21,2,15,0,0,1,0,0,2,0,10,2,2,"100.0",45,4,4,"100.0",1,23,"23.0",0,23,2,28,"14.0",0,14,2,94,47,25,7,17,6,13,46.2,1,1,100,8,49,494,85,3.9,0,409,8.3,12.8,4,23,28,49,-3,3,0,0,0
"10/16","CIN
      L",19,36,52.8,171,4.8,9.4,1,0,1,7,75.9,12,0,0,34,228,6.7,1,9,30,43,37,6,3,27,0,0,1,1,0,3,0,14,4,4,"100.0",37,2,2,"100.0",1,20,"20.0",0,20,1,6,"6.0",0,6,3,149,49.7,22,9,12,8,17,47.1,0,1,0,4,34,399,228,6.7,1,171,4.8,9.4,1,20,6,34,1,0,1,0,0
