"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","FUM","FUML","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","R1st.downs","P1st.downs","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","RushYds.yardage","RushYPA.yardage","RushTD.yardage","PassYds.yardage","PassYPA.yardage","PassYPR.yardage","PassTD.yardage","KRYds.yardage","PRYds.yardage","PenYds.yardage","PlusMinus","OINT.turnovers","FumRec.turnovers","INT.turnovers","FUML.turnovers"
"1/21","@PHI
      L",15,27,55.6,109,4,9,0,1,5,26,53.8,8,0,0,20,118,5.9,1,5,38,69,43,26,1,6,0,0,1,0,0,1,0,1,0,0,"-",0,1,1,100,5,130,"26.0",0,30,1,-3,"-3.0",0,-3,5,216,43.2,13,5,8,5,13,38.5,1,3,33.3,1,5,227,118,5.9,1,109,4,9,0,130,-3,5,-1,1,0,0,0
"1/15","@MIN
      W",24,35,68.6,289,8.3,12.5,2,0,3,12,114.1,15,0,0,30,142,4.7,2,11,24,60,39,21,0,0,0,0,1,0,0,3,0,7,1,1,"100.0",25,4,4,100,1,19,"19.0",0,19,2,17,"8.5",0,10,2,90,45,28,11,15,7,13,53.8,2,2,100,5,45,431,142,4.7,2,289,8.3,12.5,2,19,17,45,0,0,0,0,0
"1/8","@PHI
      L",23,40,57.5,155,3.9,7.3,1,0,2,13,75.8,11,0,0,21,129,6.1,1,6,22,60,46,14,3,22,1,0,0,0,0,2,0,4,1,1,"100.0",24,1,1,100,2,64,"32.0",0,40,0,0,"-",0,0,6,264,44,18,6,11,4,14,28.6,2,3,66.7,8,66,284,129,6.1,1,155,3.9,7.3,1,64,0,66,1,0,0,1,0
"1/1","IND
      W",19,24,79.2,177,7.4,9.3,2,0,0,0,125.2,9,0,0,37,217,5.9,2,14,10,66,35,31,2,17,1,1,0,0,0,4,0,8,1,1,"100.0",36,5,5,100,2,40,"20.0",0,23,0,0,"-",0,0,1,47,47,26,14,9,4,7,57.1,0,1,0,3,20,394,217,5.9,2,177,7.4,9.3,2,40,0,20,0,0,0,1,1
"12/24","@MIN
      L",30,42,71.4,319,7.6,11.1,1,1,3,15,92.8,15,0,0,21,126,6,1,6,27,79,44,35,4,29,0,0,0,0,0,7,0,10,3,3,"100.0",55,1,1,100,1,26,"26.0",0,26,2,8,"4.0",0,4,4,129,32.3,23,6,15,3,11,27.3,1,1,100,7,63,445,126,6,1,319,7.6,11.1,1,26,8,63,-2,1,0,0,1
"12/18","@WAS
      W",21,32,65.6,160,5,7.6,0,0,0,0,77.6,8,0,0,30,128,4.3,1,11,12,62,35,27,3,21,0,0,4,2,1,6,0,8,2,2,"100.0",50,2,2,100,1,21,"21.0",0,21,2,32,"16.0",0,23,5,213,42.6,19,11,8,2,10,20,1,1,100,5,30,288,128,4.3,1,160,5,7.6,0,21,32,30,2,0,2,0,0
"12/11","PHI
      L",23,32,71.9,181,5.7,9.4,2,0,7,35,110.9,11,0,0,24,123,5.1,1,7,48,59,47,12,4,33,0,0,0,0,0,2,0,2,0,0,"-",0,2,2,100,3,58,"19.3",0,20,0,0,"-",0,0,5,241,48.2,18,7,11,4,13,30.8,2,4,50,5,34,304,123,5.1,1,181,5.7,9.4,2,58,0,34,-1,0,0,0,1
"12/4","WAS
      T",25,31,80.6,182,5.9,8,1,0,4,18,104.3,9,0,0,30,134,4.5,1,10,20,88,47,41,5,29,0,0,3,1,0,5,0,8,2,3,"66.7",48,2,2,100,2,44,"22.0",0,25,3,18,"6.0",0,12,7,324,46.3,20,10,9,4,13,30.8,0,0,0,4,34,316,134,4.5,1,182,5.9,8,1,44,18,34,0,0,1,0,1
"11/24","@DAL
      L",21,35,60,210,6,10.9,1,0,3,18,88.8,11,0,0,21,90,4.3,1,6,28,68,45,23,0,0,2,0,0,0,0,5,0,8,2,2,"100.0",57,2,2,100,0,0,"-",0,0,1,3,"3.0",0,3,4,193,48.3,21,6,11,3,11,27.3,0,2,0,7,66,300,90,4.3,1,210,6,10.9,1,0,3,66,2,0,0,2,0
"11/20","DET
      L",27,44,61.4,324,7.4,12.6,1,2,2,17,74.1,17,0,0,26,89,3.4,2,7,31,64,43,21,0,0,0,0,1,0,0,3,0,0,0,0,"-",0,0,2,0,3,41,"13.7",0,18,2,10,"5.0",0,7,4,153,38.3,25,7,17,5,13,38.5,2,3,66.7,8,63,413,89,3.4,2,324,7.4,12.6,1,41,10,63,-3,2,0,0,1
