"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","FUM","FUML","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","R1st.downs","P1st.downs","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","RushYds.yardage","RushYPA.yardage","RushTD.yardage","PassYds.yardage","PassYPA.yardage","PassYPR.yardage","PassTD.yardage","KRYds.yardage","PRYds.yardage","PenYds.yardage","PlusMinus","OINT.turnovers","FumRec.turnovers","INT.turnovers","FUML.turnovers"
"1/8","@MIA
      L",18,33,54.5,149,4.5,8.3,0,0,0,0,66.4,9,0,0,20,38,1.9,0,1,11,71,43,28,1,12,0,0,0,0,0,4,0,6,2,3,66.7,35,0,0,"-",0,0,"-",0,0,2,29,"14.5",0,20,5,241,48.2,11,1,9,7,16,43.8,0,0,0,6,54,187,38,1.9,0,149,4.5,8.3,0,0,29,54,0,0,0,0,0
"1/1","@SEA
      L",23,46,50,204,4.4,10.4,0,2,4,36,47.4,14,0,0,17,75,4.4,0,5,23,78,50,28,4,35,0,0,1,0,0,4,0,6,2,3,66.7,44,0,0,"-",2,51,"25.5",0,26,2,8,"4.0",0,5,3,130,43.3,20,5,14,4,13,30.8,0,2,0,2,10,279,75,4.4,0,204,4.4,10.4,0,51,8,10,-3,2,0,0,1
"12/22","JAX
      L",19,33,57.6,161,4.9,9.6,0,1,3,21,60.4,8,0,0,20,66,3.3,0,1,19,78,46,32,1,11,0,0,1,1,0,2,0,3,1,1,100,37,0,0,"-",3,80,"26.7",0,32,0,0,"-",0,0,5,201,40.2,10,1,8,2,13,15.4,1,5,20,9,64,227,66,3.3,0,161,4.9,9.6,0,80,0,64,-1,1,1,0,1
"12/18","DET
      L",18,35,51.4,287,8.2,17.6,2,1,4,30,89.8,14,0,0,22,50,2.3,0,3,20,66,43,23,0,0,0,0,0,0,0,3,0,5,1,2,50,34,2,2,"100.0",3,51,"17.0",0,26,1,6,"6.0",0,6,6,300,50,18,3,14,7,14,50,1,1,100,2,20,337,50,2.3,0,287,8.2,17.6,2,51,6,20,-1,1,0,0,0
"12/11","@BUF
      L",28,47,59.6,233,5,9.6,0,0,4,36,75.6,13,0,0,22,76,3.5,1,6,20,47,35,12,3,17,0,0,0,0,0,3,1,4,1,1,100,26,1,1,"100.0",4,88,"22.0",0,24,2,23,"11.5",0,13,7,311,44.4,19,6,13,8,17,47.1,0,1,0,7,61,309,76,3.5,1,233,5,9.6,0,88,23,61,-2,0,0,0,2
"12/4","@MIN
      L",31,58,53.4,366,6.3,11.9,0,2,1,3,58.8,15,0,0,24,120,5,1,6,27,62,41,21,2,14,0,0,0,0,0,5,0,16,5,5,100,60,1,1,"100.0",0,0,"-",0,0,3,37,"12.3",0,15,2,81,40.5,23,6,15,3,16,18.8,2,5,40,6,40,486,120,5,1,366,6.3,11.9,0,0,37,40,-2,2,0,0,0
"11/27","CHI
      W",22,29,75.9,308,10.6,14.3,3,0,1,7,145,14,0,0,32,158,4.9,1,8,10,61,32,29,2,14,1,0,1,0,0,2,0,7,1,2,50,57,4,4,"100.0",1,18,"18.0",0,18,2,38,"19.0",0,22,2,118,59,22,8,14,7,12,58.3,0,1,0,1,5,466,158,4.9,1,308,10.6,14.3,3,18,38,5,1,0,0,1,0
"11/20","@NE
      L",9,22,40.9,44,2,8.6,0,0,4,33,50.8,3,0,0,23,59,2.6,0,1,10,64,47,17,6,48,0,0,0,0,0,2,0,3,1,1,100,45,0,0,"-",3,49,"16.3",0,21,2,9,"4.5",0,9,10,458,45.8,6,1,3,3,14,21.4,0,0,0,3,15,103,59,2.6,0,44,2,8.6,0,49,9,15,0,0,0,0,0
"11/6","BUF
      W",18,25,72,136,5.4,8.6,1,0,2,18,101.1,9,0,0,34,174,5.1,1,11,17,55,34,21,5,22,2,0,2,0,0,6,0,8,2,2,100,53,2,2,"100.0",2,40,"20.0",0,22,0,0,"-",0,0,3,147,49,21,11,9,5,13,38.5,2,2,100,3,30,310,174,5.1,1,136,5.4,8.6,1,40,0,30,1,0,0,2,1
"10/30","NE
      L",20,41,48.8,336,8.2,17.8,2,3,2,19,64.6,15,0,0,15,51,3.4,0,1,22,75,52,23,6,33,1,0,1,0,0,4,0,5,1,2,50,28,2,2,"100.0",2,36,"18.0",0,21,0,0,"-",0,0,4,188,47,17,1,15,5,14,35.7,0,1,0,4,41,387,51,3.4,0,336,8.2,17.8,2,36,0,41,-2,3,0,1,0
"10/23","@DEN
      W",16,26,61.5,105,4,7.6,0,0,3,16,72.8,5,0,0,24,155,6.5,1,4,9,63,42,21,1,6,1,0,0,0,0,9,0,10,3,3,100,45,1,1,"100.0",0,0,"-",0,0,0,0,"-",0,0,8,438,54.8,10,4,5,3,14,21.4,0,0,0,11,85,260,155,6.5,1,105,4,7.6,0,0,0,85,1,0,0,1,0
"10/16","@GB
      W",10,18,55.6,99,5.5,11,0,0,2,11,73.8,4,0,0,33,179,5.4,2,9,10,64,42,22,4,36,0,0,1,1,0,5,0,9,2,3,66.7,32,3,3,"100.0",1,29,"29.0",0,29,3,34,"11.3",0,19,6,268,44.7,14,9,4,1,11,9.1,0,0,0,7,79,278,179,5.4,2,99,5.5,11,0,29,34,79,1,0,1,0,0
"10/9","MIA
      W",14,21,66.7,187,8.9,15,0,0,2,23,99.3,9,0,0,33,135,4.1,5,8,17,57,37,20,2,8,1,0,1,1,0,4,1,8,1,1,100,34,5,5,"100.0",3,67,"22.3",0,42,0,0,"-",0,0,4,185,46.3,21,8,9,5,11,45.5,0,1,0,5,105,322,135,4.1,5,187,8.9,15,0,67,0,105,2,0,1,1,0
