"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","FUM","FUML","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","R1st.downs","P1st.downs","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","RushYds.yardage","RushYPA.yardage","RushTD.yardage","PassYds.yardage","PassYPA.yardage","PassYPR.yardage","PassTD.yardage","KRYds.yardage","PRYds.yardage","PenYds.yardage","PlusMinus","OINT.turnovers","FumRec.turnovers","INT.turnovers","FUML.turnovers"
"2/12","KC
      L",27,38,71.1,302,7.9,11.3,1,0,2,2,103.4,11,0,0,32,115,3.6,3,12,38,45,36,9,0,0,0,0,0,0,0,1,0,9,2,2,"100.0",35,3,3,100,1,11,"11.0",0,11,2,35,"17.5",0,27,2,95,"47.5",25,12,11,11,18,61.1,2,2,100,6,33,417,115,3.6,3,302,7.9,11.3,1,11,35,33,-1,0,0,0,1
"1/29","SF
      W",15,25,60,121,4.8,8.1,0,0,1,0,72.3,6,0,0,44,148,3.4,4,12,7,48,28,20,3,14,0,0,2,3,0,1,0,7,1,1,"100.0",31,4,4,100,1,29,"29.0",0,29,0,0,"-",0,0,4,180,"45.0",25,12,6,5,15,33.3,3,3,100,4,34,269,148,3.4,4,121,4.8,8.1,0,29,0,34,3,0,3,0,0
"1/21","NYG
      W",16,24,66.7,148,6.2,9.6,2,0,1,6,112.2,8,0,0,44,268,6.1,3,17,7,47,32,15,5,26,1,0,1,0,0,6,0,8,1,1,"100.0",30,5,5,100,0,0,"-",0,0,0,0,"-",0,0,3,129,"43.0",26,17,8,10,14,71.4,0,0,0,5,25,416,268,6.1,3,148,6.2,9.6,2,0,0,25,1,0,0,1,0
"1/8","NYG
      W",20,35,57.1,207,5.9,11.4,0,1,3,22,65.1,11,0,0,34,135,4,1,11,16,50,39,11,2,13,0,0,0,0,0,9,0,16,5,5,"100.0",54,1,1,100,0,0,"-",0,0,2,30,"15.0",0,16,2,67,"33.5",23,11,11,5,14,35.7,0,0,0,4,30,342,135,4,1,207,5.9,11.4,0,0,30,30,-1,1,0,0,0
"1/1","NO
      L",18,32,56.3,246,7.7,15.2,1,1,6,28,82,9,0,0,15,67,4.5,0,2,20,75,47,28,7,45,1,0,0,0,0,2,0,4,1,1,"100.0",56,1,1,100,1,15,"15.0",0,15,1,7,"7.0",0,7,6,251,"41.8",11,2,9,3,12,25,0,2,0,8,49,313,67,4.5,0,246,7.7,15.2,1,15,7,49,0,1,0,1,0
"12/24","@DAL
      L",24,40,60,355,8.9,14.8,2,2,0,0,84.9,19,0,0,29,87,3,1,4,40,72,50,22,6,43,1,1,1,0,0,3,0,10,2,2,"100.0",47,4,4,100,2,54,"27.0",0,29,0,0,"-",0,0,0,0,"-",25,4,19,8,14,57.1,2,3,66.7,2,10,442,87,3,1,355,8.9,14.8,2,54,0,10,-3,2,0,1,2
"12/18","@CHI
      W",22,37,59.5,309,8.4,14.3,0,2,1,6,64.6,11,0,0,33,112,3.4,3,8,20,61,41,20,6,61,0,0,3,1,0,2,0,5,1,2,"50.0",32,2,2,100,3,92,"30.7",0,58,1,7,"7.0",0,7,2,90,"45.0",20,8,11,9,16,56.3,1,2,50,2,25,421,112,3.4,3,309,8.4,14.3,0,92,7,25,-2,2,1,0,1
"12/11","@NYG
      W",21,31,67.7,184,5.9,10.3,2,0,4,33,109.2,10,0,0,31,253,8.2,4,15,22,61,44,17,7,35,0,0,1,1,0,3,0,12,2,2,"100.0",39,6,6,100,3,117,"39.0",0,66,4,29,"7.3",0,16,2,35,"17.5",27,15,10,6,11,54.5,1,1,100,2,9,437,253,8.2,4,184,5.9,10.3,2,117,29,9,1,0,1,0,0
"12/4","TEN
      W",30,41,73.2,386,9.4,13,3,0,2,5,127.2,16,0,0,24,67,2.8,2,7,10,52,34,18,6,35,0,0,0,0,0,6,0,5,0,0,"-",0,5,5,100,2,37,"18.5",0,26,6,105,"17.5",0,27,5,215,"43.0",26,7,16,3,11,27.3,3,3,100,12,80,453,67,2.8,2,386,9.4,13,3,37,105,80,0,0,0,0,0
"11/27","GB
      W",16,28,57.1,137,4.9,9.6,2,0,2,16,96.3,6,0,0,49,363,7.4,3,21,33,47,27,20,3,17,2,0,0,0,0,4,0,10,2,2,"100.0",54,4,5,80,4,91,"22.8",0,28,0,0,"-",0,0,1,52,"52.0",29,21,6,8,15,53.3,2,3,66.7,3,25,500,363,7.4,3,137,4.9,9.6,2,91,0,25,1,0,0,2,1
"11/20","@IND
      W",18,25,72,173,6.9,10.6,1,0,3,17,107.1,6,0,0,33,141,4.3,1,10,16,63,42,21,4,28,0,0,1,1,0,3,0,5,1,1,"100.0",22,2,2,100,0,0,"-",0,0,1,13,"13.0",0,13,4,167,"41.8",18,10,6,5,12,41.7,1,2,50,7,55,314,141,4.3,1,173,6.9,10.6,1,0,13,55,-1,0,1,0,2
"11/14","WAS
      L",17,26,65.4,170,6.5,10.3,2,1,1,5,94.2,10,0,0,20,94,4.7,1,7,32,91,54,37,3,33,1,0,1,1,0,5,0,3,0,0,"-",0,3,3,100,2,40,"20.0",0,20,1,5,"5.0",0,5,3,141,"47.0",18,7,10,5,8,62.5,0,0,0,7,75,264,94,4.7,1,170,6.5,10.3,2,40,5,75,-2,1,1,1,3
"11/3","@HOU
      W",21,27,77.8,217,8,11.6,2,0,4,26,128.9,14,0,0,31,143,4.6,2,9,17,62,40,22,3,19,2,0,0,0,0,3,0,3,0,1,"0.0",0,3,3,100,2,30,"15.0",0,16,1,8,"8.0",0,8,3,149,"49.7",24,9,14,5,10,50,2,2,100,4,31,360,143,4.6,2,217,8,11.6,2,30,8,31,1,0,0,2,1
"10/30","PIT
      W",20,30,66.7,290,9.7,15.4,4,0,3,18,140,13,0,0,20,111,5.6,1,6,13,71,49,22,6,38,1,0,2,1,0,7,0,5,0,0,"-",0,5,5,100,3,67,"22.3",0,26,2,8,"4.0",0,5,4,183,"45.8",20,6,13,7,12,58.3,1,1,100,8,60,401,111,5.6,1,290,9.7,15.4,4,67,8,60,2,0,1,1,0
"10/16","DAL
      W",15,25,60,132,5.3,10.3,2,0,4,23,104.6,9,0,0,39,136,3.5,1,9,17,57,33,24,0,0,3,0,0,0,0,12,0,8,2,2,"100.0",51,2,2,100,0,0,"-",0,0,1,14,"14.0",0,14,4,187,"46.8",22,9,9,6,14,42.9,1,1,100,2,10,268,136,3.5,1,132,5.3,10.3,2,0,14,10,3,0,0,3,0
