"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","FUM","FUML","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","R1st.downs","P1st.downs","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","RushYds.yardage","RushYPA.yardage","RushTD.yardage","PassYds.yardage","PassYPA.yardage","PassYPR.yardage","PassTD.yardage","KRYds.yardage","PRYds.yardage","PenYds.yardage","PlusMinus","OINT.turnovers","FumRec.turnovers","INT.turnovers","FUML.turnovers"
"1/14","@SF
      L",25,35,71.4,228,6.5,10.1,2,1,3,25,98.9,14,0,0,25,104,4.2,1,6,41,60,43,17,1,8,0,0,0,0,0,4,0,5,1,1,"100.0",56,2,2,"100.0",7,164,"23.4",0,37,1,0,"0.0",0,0,4,194,"48.5",22,6,14,6,13,46.2,1,1,100,5,30,332,104,4.2,1,228,6.5,10.1,2,164,0,30,-2,1,0,0,1
"1/8","LAR
      W",19,31,61.3,205,6.6,11.2,1,2,3,8,65.7,10,0,0,36,197,5.5,0,10,16,63,38,25,5,24,1,0,0,0,0,5,0,13,4,5,"80.0",37,1,1,"100.0",1,29,"29.0",0,29,2,24,"12.0",0,20,5,233,"46.6",22,10,10,1,11,9.1,1,1,100,4,20,402,197,5.5,0,205,6.6,11.2,1,29,24,20,-1,2,0,1,0
"1/1","NYJ
      W",18,29,62.1,148,5.1,10.2,2,0,4,35,103.1,10,0,0,38,198,5.2,0,9,6,54,37,17,4,36,2,0,1,1,0,6,0,11,3,4,"75.0",31,2,2,"100.0",1,24,"24.0",0,24,2,8,"4.0",0,8,4,169,"42.3",20,9,10,5,15,33.3,1,2,50,5,25,346,198,5.2,0,148,5.1,10.2,2,24,8,25,3,0,1,2,0
"12/24","@KC
      L",25,40,62.5,200,5,8.6,1,1,2,15,74.5,8,0,0,31,133,4.3,0,8,24,49,26,23,1,4,0,0,0,0,0,5,0,4,1,1,"100.0",22,1,1,"100.0",3,68,"22.7",0,48,2,12,"6.0",0,6,5,238,"47.6",19,8,8,2,14,14.3,3,6,50,6,35,333,133,4.3,0,200,5,8.6,1,68,12,35,-1,1,0,0,0
"12/15","SF
      L",31,44,70.5,207,4.7,7.7,1,0,3,31,90.9,12,0,0,14,70,5,0,3,21,63,36,27,1,6,0,0,0,0,0,3,0,7,2,2,"100.0",51,1,1,"100.0",3,83,"27.7",0,31,0,0,"-",0,0,7,349,"49.9",16,3,12,4,13,30.8,0,0,0,8,79,277,70,5,0,207,4.7,7.7,1,83,0,79,-1,0,0,0,1
"12/11","CAR
      L",21,36,58.3,241,6.7,12.6,3,2,3,23,85.9,13,0,0,14,46,3.3,0,2,30,81,47,34,2,15,0,0,0,0,0,4,0,6,1,1,"100.0",27,3,3,"100.0",3,104,"34.7",0,50,0,0,"-",0,0,4,177,"44.3",16,2,13,6,13,46.2,1,1,100,3,35,287,46,3.3,0,241,6.7,12.6,3,104,0,35,-2,2,0,0,0
"12/4","@LAR
      W",28,39,71.8,348,8.9,13.1,3,1,4,19,116.1,18,0,0,22,90,4.1,0,5,23,58,44,14,4,30,2,0,1,0,0,8,0,9,2,2,"100.0",41,3,3,"100.0",0,0,"-",0,0,0,0,"-",0,0,2,114,"57.0",25,5,18,5,10,50,0,0,0,6,42,438,90,4.1,0,348,8.9,13.1,3,0,0,42,0,1,0,2,1
"11/27","LV
      L",27,37,73,307,8.3,12.1,2,1,3,21,106.6,15,0,0,23,65,2.8,2,6,40,81,45,36,1,2,2,0,0,0,0,7,0,10,2,2,"100.0",34,4,4,"100.0",2,52,"26.0",0,26,1,11,"11.0",0,11,4,191,"47.8",22,6,15,3,9,33.3,0,0,0,2,10,372,65,2.8,2,307,8.3,12.1,2,52,11,10,0,1,0,2,1
"11/13","@TB
      L",23,33,69.7,244,7.4,12,2,0,3,31,115.1,15,0,0,14,39,2.8,0,2,21,69,51,18,0,0,2,0,0,0,0,4,0,4,1,1,"100.0",55,1,1,"100.0",3,60,"20.0",0,22,0,0,"-",0,0,5,253,"50.6",19,2,15,1,9,11.1,2,2,100,6,46,283,39,2.8,0,244,7.4,12,2,60,0,46,1,0,0,2,1
"11/6","@ARI
      W",26,34,76.5,263,7.7,10.6,2,1,2,12,106.9,14,0,0,34,158,4.6,2,10,21,55,46,9,5,35,0,0,1,1,0,4,0,7,1,1,"100.0",49,4,4,"100.0",2,41,"20.5",0,29,3,23,"7.7",0,19,3,162,"54.0",27,10,14,10,15,66.7,0,1,0,6,34,421,158,4.6,2,263,7.7,10.6,2,41,23,34,0,1,1,0,0
"10/30","NYG
      W",23,34,67.6,190,5.6,9.2,2,0,3,22,104,14,0,0,25,87,3.5,1,4,13,57,46,11,5,29,0,0,3,2,0,6,0,9,2,2,"100.0",51,3,3,"100.0",1,26,"26.0",0,26,2,16,"8.0",0,8,6,291,"48.5",19,4,14,3,13,23.1,2,2,100,3,25,277,87,3.5,1,190,5.6,9.2,2,26,16,25,1,0,2,0,1
"10/23","@LAC
      W",20,27,74.1,191,7.1,10.5,2,1,2,19,105.5,10,0,0,34,213,6.3,2,10,23,56,46,10,3,17,1,0,2,1,0,9,0,13,3,3,"100.0",50,4,4,"100.0",2,45,"22.5",0,25,1,0,"0.0",0,0,1,46,"46.0",24,10,10,5,9,55.6,0,0,0,7,68,404,213,6.3,2,191,7.1,10.5,2,45,0,68,0,1,1,1,1
"10/16","ARI
      W",20,31,64.5,160,5.2,9.9,0,0,5,37,82.3,10,0,0,30,136,4.5,1,7,9,73,51,22,6,51,1,0,2,1,0,4,0,13,4,4,"100.0",39,1,1,"100.0",0,0,"-",0,0,1,8,"8.0",0,8,6,293,"48.8",19,7,10,4,14,28.6,0,1,0,6,44,296,136,4.5,1,160,5.2,9.9,0,0,8,44,1,0,1,1,1
