"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","FUM","FUML","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","R1st.downs","P1st.downs","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","RushYds.yardage","RushYPA.yardage","RushTD.yardage","PassYds.yardage","PassYPA.yardage","PassYPR.yardage","PassTD.yardage","KRYds.yardage","PRYds.yardage","PenYds.yardage","PlusMinus","OINT.turnovers","FumRec.turnovers","INT.turnovers","FUML.turnovers"
"1/7","@JAX
      L",20,29,69,165,5.7,8.9,1,1,4,14,82.4,14,0,0,39,147,3.8,0,4,20,36,29,7,1,9,0,0,0,1,0,2,0,10,3,3,"100.0",51,1,1,100,3,71,"23.7",0,25,1,2,"2.0",0,2,3,166,55.3,19,4,14,6,17,35.3,2,3,66.7,6,40,312,147,3.8,0,165,5.7,8.9,1,71,2,40,-1,1,1,0,1
"12/29","DAL
      L",20,39,51.3,220,5.6,11.6,1,1,2,12,67.5,11,0,0,24,97,4,0,6,27,76,49,27,1,8,2,0,0,1,0,7,0,7,2,2,"100.0",37,1,1,100,1,25,"25.0",0,25,0,0,"-",0,0,5,237,47.4,17,6,11,7,16,43.8,1,2,50,10,124,317,97,4,0,220,5.6,11.6,1,25,0,124,1,1,1,2,1
"12/24","HOU
      L",14,23,60.9,88,3.8,7.1,0,2,4,11,34.5,4,0,0,31,184,5.9,2,11,19,64,41,23,1,3,1,0,1,0,0,5,0,2,0,0,"-",0,2,2,100,4,85,"21.3",0,28,2,16,"8.0",0,10,6,301,50.2,16,11,4,4,12,33.3,1,2,50,5,30,272,184,5.9,2,88,3.8,7.1,0,85,16,30,-2,2,0,1,1
"12/18","@LAC
      L",18,26,69.2,157,6,10.3,0,1,4,28,73.4,8,0,0,27,127,4.7,2,9,17,68,42,26,3,22,2,0,0,0,0,5,0,2,0,1,"0.0",0,2,2,100,1,6,"6.0",0,6,2,0,"0.0",0,0,7,392,56,17,9,8,3,11,27.3,0,0,0,6,62,284,127,4.7,2,157,6,10.3,0,6,0,62,1,1,0,2,0
"12/11","JAX
      L",25,38,65.8,227,6,10.2,2,1,4,27,91.3,14,0,0,20,137,6.8,1,7,36,64,47,17,0,0,0,0,0,0,0,8,0,2,0,0,"-",0,2,2,100,3,76,"25.3",0,33,3,4,"1.3",0,4,3,150,50,22,7,14,5,10,50,0,1,0,5,50,364,137,6.8,1,227,6,10.2,2,76,4,50,-4,1,0,0,3
"12/4","@PHI
      L",16,26,61.5,122,4.7,9.8,1,0,6,35,91.3,5,0,0,21,87,4.1,0,5,35,61,44,17,2,5,0,0,1,0,0,3,0,4,1,1,"100.0",36,1,1,100,3,62,"20.7",0,22,4,42,"10.5",0,19,7,401,57.3,11,5,5,4,14,28.6,1,2,50,7,82,209,87,4.1,0,122,4.7,9.8,1,62,42,82,0,0,0,0,0
"11/27","CIN
      L",22,34,64.7,281,8.3,13.2,0,0,1,10,91.7,12,0,0,21,63,3,0,2,20,55,38,17,1,4,0,0,0,0,0,6,0,10,3,4,"75.0",38,1,1,100,1,20,"20.0",0,20,4,42,"10.5",0,13,5,269,53.8,15,2,12,7,16,43.8,0,0,0,8,57,344,63,3,0,281,8.3,13.2,0,20,42,57,0,0,0,0,0
"11/17","@GB
      W",24,29,82.8,320,11,14,3,1,3,17,135.2,15,0,0,32,88,2.8,1,5,17,56,37,19,1,12,0,0,1,0,0,3,0,3,0,0,"-",0,3,4,75,4,89,"22.3",0,27,2,12,"6.0",0,9,3,152,50.7,21,5,15,7,13,53.8,1,2,50,2,19,408,88,2.8,1,320,11,14,3,89,12,19,-1,1,0,0,0
"11/13","DEN
      W",19,36,52.8,244,6.8,13.4,2,0,1,11,94.1,11,0,0,23,63,2.7,0,2,10,65,42,23,6,38,1,0,1,0,0,7,0,5,1,1,"100.0",35,2,2,100,1,17,"17.0",0,17,4,51,"12.8",0,17,8,432,54,14,2,11,6,16,37.5,0,0,0,9,60,307,63,2.7,0,244,6.8,13.4,2,17,51,60,0,0,0,1,1
"11/6","@KC
      L",5,16,31.3,57,3.6,16,0,0,3,23,49,3,0,0,29,172,5.9,2,6,20,82,52,30,4,24,1,0,0,0,0,4,0,5,1,1,"100.0",44,2,2,100,4,72,"18.0",0,22,2,11,"5.5",0,11,8,390,48.8,9,6,3,1,11,9.1,0,1,0,8,51,229,172,5.9,2,57,3.6,16,0,72,11,51,1,0,0,1,0
