"Date","Time (ET)","Where","Favorite","FavDiv","Underdog","UDDiv","Spread","OULine","FavScore","UDogScore","OT","Differential","Total","OverUnder","SpreadWin","Winner","SpreadWinTeam","WinTeam"
2020-09-10,"8:20","Home","KC","AFC West","HOU","AFC South",-9.5,53.5,34,20,"No",14,54,"O","Favorite","Favorite","KC","KC"
2020-09-13,"1:00","Home","ATL","NFC South","SEA","NFC West",-1,49.5,25,38,"No",-13,63,"O","Underdog","Underdog","SEA","SEA"
2020-09-13,"1:00","Home","BAL","AFC North","CLE","AFC North",-7,47,38,6,"No",32,44,"U","Favorite","Favorite","BAL","BAL"
2020-09-13,"1:00","Home","BUF","AFC East","NYJ","AFC East",-6.5,39.5,27,17,"No",10,44,"O","Favorite","Favorite","BUF","BUF"
2020-09-13,"1:00","Away","LV","AFC West","CAR","NFC South",-3,48,34,30,"No",4,64,"O","Favorite","Favorite","LV","LV"
2020-09-13,"1:00","Home","DET","NFC North","CHI","NFC North",-2.5,42.5,23,27,"No",-4,50,"O","Underdog","Underdog","CHI","CHI"
2020-09-13,"1:00","Away","IND","AFC South","JAC","AFC South",-7,44,20,27,"No",-7,47,"O","Underdog","Underdog","JAC","JAC"
2020-09-13,"1:00","Home","MIN","NFC North","GB","NFC North",-1,44,34,43,"No",-9,77,"O","Underdog","Underdog","GB","GB"
2020-09-13,"1:00","Home","NE","AFC East","MIA","AFC East",-7.5,41.5,21,11,"No",10,32,"U","Favorite","Favorite","NE","NE"
2020-09-13,"1:00","Away","PHI","NFC East","WAS","NFC East",-5.5,41.5,17,27,"No",-10,44,"O","Underdog","Underdog","WAS","WAS"
2020-09-13,"4:04","Away","LAC","AFC West","CIN","AFC North",-2.5,41.5,16,13,"No",3,29,"U","Favorite","Favorite","LAC","LAC"
2020-09-13,"4:25","Home","NO","NFC South","TB","NFC South",-4,48.5,34,23,"No",11,57,"O","Favorite","Favorite","NO","NO"
2020-09-13,"4:25","Home","SF","NFC West","ARI","NFC West",-7,48.5,20,24,"No",-4,44,"U","Underdog","Underdog","ARI","ARI"
2020-09-13,"8:20","Home","LA","NFC West","DAL","NFC East",-1,52,20,17,"No",3,37,"U","Favorite","Favorite","LA","LA"
2020-09-14,"7:15","Away","PIT","AFC North","NYG","NFC East",-6,44,26,16,"No",10,42,"U","Favorite","Favorite","PIT","PIT"
2020-09-14,"10:10","Away","TEN","AFC South","DEN","AFC West",-3.5,41.5,16,14,"No",2,30,"U","Underdog","Favorite","DEN","TEN"
2020-09-17,"8:20","Home","CLE","AFC North","CIN","AFC North",-6,44.5,35,30,"No",5,65,"O","Underdog","Favorite","CIN","CLE"
2020-09-20,"1:00","Home","CHI","NFC North","NYG","NFC East",-4.5,42.5,17,13,"No",4,30,"U","Underdog","Favorite","NYG","CHI"
2020-09-20,"1:00","Home","DAL","NFC East","ATL","NFC South",-3,53,40,39,"No",1,79,"O","Underdog","Favorite","ATL","DAL"
2020-09-20,"1:00","Home","GB","NFC North","DET","NFC North",-7,51,42,21,"No",21,63,"O","Favorite","Favorite","GB","GB"
2020-09-20,"1:00","Home","IND","AFC South","MIN","NFC North",-3.5,49,28,11,"No",17,39,"U","Favorite","Favorite","IND","IND"
